Location,Address,Period,Maximum Temperature,Minimum Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Cloud Cover,Relative Humidity,,Disease
"Karjat, MH, India","Karjat, MH, India",Week 4 (Jan) 2016,33.1,15.1,24.4,31.2,0,22.3,6.2,41.99,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 5 (Jan) 2016,32.1,16.3,25.4,34.3,0,22.3,6.1,54.5,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 6 (Feb) 2016,33.4,16,25,32.3,0,22.3,11.1,57.34,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 7 (Feb) 2016,31.1,17.6,24.7,31.4,0,24.1,13.4,62.6,,Blast
"Karjat, MH, India","Karjat, MH, India",Week 8 (Feb) 2016,32.1,20.5,26.8,33.8,0,24.1,27.9,57.86,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 9 (Feb) 2016,33.1,20.7,26.8,38.2,0,25.9,25.7,61.04,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 10 (Mar) 2016,35.1,22.4,28.9,39.5,12,20.5,28.9,57.56,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 11 (Mar) 2016,35.1,21.9,28.7,40.1,0,24.1,21.7,54.15,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 12 (Mar) 2016,37.1,20.8,28.8,39.4,0,25.9,9.1,60.22,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 13 (Mar) 2016,37.5,21.5,29.9,41.6,0,24.1,14.6,58.61,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 14 (Apr) 2016,35.7,23.4,29.1,41.5,0,22.3,20.4,64.79,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 15 (Apr) 2016,36.1,24.5,29.9,41.7,1,25.9,32,60.94,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 16 (Apr) 2016,36.1,24.3,29.8,41.5,0,27.7,10.6,63.75,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 17 (Apr) 2016,35.5,25.4,29.6,40.8,0,24.1,36.5,67.35,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 18 (Apr) 2016,38.1,24.3,30.5,42.4,0,24.1,27.2,63.64,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 19 (May) 2016,34.8,25.2,30.1,41.6,0,24.1,38,69.26,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 20 (May) 2016,35.1,26.8,30.7,45.4,2,25.9,41.9,71.94,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 21 (May) 2016,35.5,27.9,31.2,45,0,26.9,49.5,72.3,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 22 (May) 2016,34.4,28.3,31.4,43.9,3.3,25.9,47.9,70.55,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 23 (Jun) 2016,35.5,26.7,31.5,45.5,73.2,25.9,49.7,68.89,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 24 (Jun) 2016,34.4,26.1,31.1,44,26.23,24.1,64.2,73.39,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 25 (Jun) 2016,34.2,24.6,30.9,44,28.7,25.9,59.2,72.33,,False Smut
"Karjat, MH, India","Karjat, MH, India",Week 26 (Jun) 2016,31.1,24.6,27.3,39.3,438.22,24.1,90.4,87.24,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 27 (Jul) 2016,31.1,24.4,26.9,40.6,673.89,27.7,96.5,91.52,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 28 (Jul) 2016,31.1,24.9,27.9,39.3,401.57,37.1,96,86.63,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 29 (Jul) 2016,30.1,24.9,27.6,39,243.53,35.3,89.9,86.9,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 30 (Jul) 2016,30.1,24,26.9,37.6,252.53,27.7,92.7,88.06,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 31 (Jul) 2016,29.1,23.4,26.4,35.8,250.41,22.3,93.9,89.91,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 32 (Aug) 2016,30.1,24.4,27.3,37.6,749.4,37.1,95.1,87.69,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 33 (Aug) 2016,30.1,24.7,27.9,37.6,247.43,33.5,88.1,83.51,,Stem Rot
"Karjat, MH, India","Karjat, MH, India",Week 34 (Aug) 2016,30.1,25.4,28.2,37.6,43.07,27.7,79.5,80.65,,Stem Rot
